15610,6629,"01U",2700,75,"DIRT-P",,0,"03",,,,,,"21",,,,,
15611,6629,"01U",3400,80,"DIRT-P",,0,"15",,,,,,"33",,,,,
18045,6630,"01UT",3200,40,"DIRT-P",,0,"E",,,,,,"W",,,,,
15502,6631,"01VA",1500,60,"TURF",,0,"03",,,,,,"21",,,,,
6994,6633,"01WI",2300,120,"GRS",0,0,"01",44.0056,-90.3905,,9.6,,"19",44.0118,-90.3892,,189.6,
24417,6635,"01WY",4360,75,"DIRT-TURF-G",,0,"12",,,,,,"30",,,,,
24418,6635,"01WY",2600,65,"DIRT-TURF-G",,0,"16",,,,,,"34",,,,,
20566,6637,"02AK",2200,45,"GRVL",,0,"15",,,,,,"33",,,,,
22149,6638,"02AL",2000,150,"TURF",,0,"18",,,,,,"36",,,,,
15027,43030,"02AR",4400,45,"ASPH-G",,0,"07",,,,,,"25",,,,,
18162,6640,"02AZ",4500,80,"TURF",,0,"17",,,,,,"35",,,,,
20280,6642,"02CD",2500,100,"CONC-TURF",,0,"15",,,,,,"33",,,,,
17224,6643,"02CL",3000,60,"DIRT",,0,"16",,,,,,"34",,,,,
22506,6644,"02CO",2670,50,"GRAVEL",,0,"17",,,,,,"35",,,,,
13986,6646,"02FA",2485,150,"TURF",,0,"18",,,,,,"36",,,,,
22758,6648,"02GA",1200,100,"TURF",,0,"08",,,,,,"26",,,,,
22759,6648,"02GA",1500,100,"TURF",,0,"13",,,,,,"31",,,,,
24345,6649,"02GE",3400,100,"TURF",,0,"09",,,,,,"27",,,,,
19796,6652,"02ID",2000,100,"TURF",,0,"NE",,,,,,"SW",,,,,
17824,6653,"02II",1100,100,"TURF",,0,"10",,,,,,"28",,,,,
20165,6654,"02IN",1020,150,"TURF",,0,"09",,,,,,"27",,,,,
15431,6656,"02KS",1650,100,"TURF",,0,"11",,,,,,"29",,,,,
15432,6656,"02KS",1950,150,"TURF",,0,"18",,,,,,"36",,,,,
18399,6661,"02ME",2400,60,"TURF",,0,"14",,,,,,"32",,,,,
22199,6662,"02MI",2000,100,"TURF",,0,"09",,,,,,"27",,,,,
21728,6663,"02MN",1897,192,"TURF-P",,0,"03",,,,,,"21",,,,,
21729,6663,"02MN",2500,192,"TURF-F",,0,"12",,,,,,"30",,,,,
21730,6663,"02MN",2553,82,"TURF-P",,0,"13",,,,,,"31",,,,,
21950,6664,"02MO",2200,50,"TURF-G",,0,"08",,,,,,"26",,,,,
22439,6665,"02MS",2150,60,"TURF-F",,0,"12",,,,,,"30",,,,,
15333,6667,"02MU",1900,125,"TURF",,0,"N",,,,,,"S",,,,,
15351,6669,"02NH",3000,300,"WATER",,0,"18W",,,,,,"36W",,,,,
22097,6671,"02NV",2200,50,"TURF",,0,"09",,,,,,"27",,,,,
23597,6673,"02OH",2750,50,"TURF",,0,"09",,,,,,"27",,,,,
14193,6674,"02OI",1500,75,"TURF",,0,"E",,,,,,"W",,,,,
23662,6676,"02OR",2000,30,"TURF",,0,"E",,,,,,"W",,,,,
17042,6680,"02PR",2000,50,"TURF",,0,"06",,,,,,"24",,,,,
23708,6681,"02PS",500,100,"TURF",,0,"01",,,,,,"19",,,,,
22412,6682,"02SC",3600,150,"TURF-G",,0,"04",,,,,,"22",,,,,
23774,6683,"02T",4050,60,"DIRT-G",,0,"02",,,,,,"20",,,,,
25045,6686,"02TN",1600,120,"TURF",,0,"11",,,,,,"29",,,,,
21137,6688,"02TX",4800,80,"TURF",,0,"17",,,,,,"35",,,,,
23638,6689,"02UT",4000,30,"DIRT",,0,"07",,,,,,"25",,,,,
23639,6689,"02UT",4000,50,"DIRT-P",,0,"16",,,,,,"34",,,,,
14917,6690,"02VA",3000,80,"TURF",,0,"18",,,,,,"36",,,,,
21417,6692,"02WA",2650,50,"TURF",,0,"16",,,,,,"34",,,,,
20653,6693,"02WI",2200,60,"TURF",,0,"18",,,,,,"36",,,,,
19177,6694,"02WN",1500,30,"DIRT",,0,"13",,,,,,"31",,,,,
18663,6695,"02XS",1500,40,"TURF",,0,"02",,,,,,"20",,,,,
18664,6695,"02XS",1320,40,"TURF",,0,"11",,,,,,"29",,,,,
16165,6696,"03AK",1000,70,"DIRT",,0,"07",,,,,,"25",,,,,
16166,6696,"03AK",2600,500,"WATER",,0,"NE",,,,,,"SW",,,,,
16167,6696,"03AK",6000,500,"WATER",,0,"N",,,,,,"S",,,,,
9180,6699,"03AZ",3600,60,"ASP",1,0,"09",31.4331,-110.095,,102,,"27",31.4333,-110.084,,282,
9181,6699,"03AZ",1750,145,"GRE",0,0,"16",31.4358,-110.082,,171.4,,"34",31.4311,-110.081,,351.4,
15500,6699,"03AZ",3600,60,"DIRT",,0,"E",,,,,,"W",,,,,
13280,6701,"03CO",4000,30,"ASP",0,0,"13",40.2167,-104.749,4900,140,,"31",40.2083,-104.74,4950,320,
16034,6702,"03FA",2000,200,"TURF",,0,"E",,,,,,"W",,,,,
25594,6703,"03FD",2000,50,"TURF-G",,0,"09",,,,,,"27",,,,,
23157,6705,"03I",2375,90,"TURF-G",,0,"13",,,,,,"31",,,,,
21677,6707,"03ID",1800,100,"TURF",,0,"11",,,,,,"29",,,,,
21575,6708,"03II",1000,200,"TURF",,0,"N",,,,,,"S",,,,,
22399,6709,"03IL",2600,105,"TURF",,0,"18",,,,,,"36",,,,,
17990,6713,"03KY",2300,80,"TURF",,0,"03",,,,,,"21",,,,,
25636,6716,"03M",3800,200,"WATER",,0,"02",,,,,,"20",,,,,
24002,6717,"03MA",1600,60,"TURF",,0,"12",,,,,,"30",,,,,
19427,6719,"03ME",2400,90,"TURF",,0,"18",,,,,,"36",,,,,
21468,6721,"03MN",1940,75,"TURF",,0,"17",,,,,,"35",,,,,
24042,6722,"03MO",2200,50,"TURF",,0,"15",,,,,,"33",,,,,
20123,6725,"03MU",2400,24,"ASPH",,0,"17",,,,,,"35",,,,,
15292,4650,"03N",2400,50,"GRVL",,0,"07",,,,,,"25",,,,,
22932,6726,"03NC",2750,40,"ASPH-G",,0,"09",,,,,,"27",,,,,
20874,6727,"03ND",2600,50,"TURF",,0,"17",,,,,,"35",,,,,
16063,6728,"03NE",2200,200,"TURF",,0,"01",,,,,,"19",,,,,
18369,6731,"03NV",3200,30,"TURF-P",,0,"18",,,,,,"36",,,,,
23950,6732,"03NY",2000,75,"TURF",,0,"16",,,,,,"34",,,,,
15109,6733,"03OH",2200,60,"TURF",,0,"NE",,,,,,"SW",,,,,
15110,6733,"03OH",2100,60,"TURF",,0,"N",,,,,,"S",,,,,
16109,6735,"03OK",1200,50,"TURF",,0,"18",,,,,,"36",,,,,
17643,6736,"03OR",2950,60,"CONC",,0,"07",,,,,,"25",,,,,
21627,6739,"03PS",675,90,"TURF-G",,0,"14",,,,,,"32",,,,,
21628,6739,"03PS",925,90,"TURF-G",,0,"16",,,,,,"34",,,,,
21629,6739,"03PS",1130,90,"TURF-G",,0,"18",,,,,,"36",,,,,
20164,6740,"03S",2115,100,"TURF-G",,0,"08",,,,,,"26",,,,,
24115,6743,"03TE",3500,100,"TURF",,0,"12",,,,,,"30",,,,,
24039,6747,"03UT",5000,35,"GRAVEL",,0,"NE",,,,,,"SW",,,,,
24040,6747,"03UT",3250,35,"GRAVEL",,0,"NW",,,,,,"SE",,,,,
20099,6749,"03WA",2800,60,"GRAVEL",,0,"18",,,,,,"36",,,,,
21737,6750,"03WI",1500,60,"TURF",,0,"N",,,,,,"S",,,,,
24488,6751,"03WN",2000,70,"GRVL",,0,"07",,,,,,"25",,,,,
22539,6752,"03XS",3200,50,"TURF-DIRT",,0,"04",,,,,,"22",,,,,
22540,6752,"03XS",1600,50,"TURF",,0,"15",,,,,,"33",,,,,
7863,6756,"04CA",5000,150,"ASP",0,0,"08",34.564,-117.683,,91.2,,"26",34.5637,-117.667,,271.2,
21170,6757,"04CL",1900,100,"GRVL-DIRT",,0,"08",,,,,,"26",,,,,
15818,6760,"04FA",2620,212,"TURF",,0,"09",,,,,,"27",,,,,
21908,6761,"04FL",3000,100,"TURF",,0,"09",,,,,,"27",,,,,
19310,6762,"04I",2382,120,"TURF-G",,0,"06",39.9092,-83.1928,920,,,"24",39.9131,-83.1847,920,,
